loop,time,type
1,2.442,0
1,2.475,1
10,29.47,0
10,29.756,1
25,82.842,0
25,84.138,1
50,163.601,0
50,165.447,1
100,336.299,0
100,339.518,1
200,681.014,0
200,686.301,1
